HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2,hpIfExtMIB,"200502011455Z",READ-ONLY,"Hewlett Packard Company 8000 Foothills Blvd. Roseville, CA 95747"
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.1,hpifMIBObjects,"OBJECT IDENTIFIER",READ-ONLY,
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.1.1,hpifStats,"OBJECT IDENTIFIER",READ-ONLY,
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.1.1.1,hpifStatsTable,"SEQUENCE OF HIFSTATSENTRY",NOT-ACCESSIBLE,"Per interface aggregated statistics for each port on this device. This table relates primarily to HP J8162A XL Access Controller Module and similar devices."
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.1.1.1.1,hpifStatsEntry,SEQUENCE,NOT-ACCESSIBLE,"An entry containing management statistics applicable to a particular interface on an HP J8162A XL Access Controller Module or similar device."
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.1.1.1.1.1,hpifStatsSlot,UNSIGNED32,READ-ONLY,"This object contains the slot designation for this interface on the associated HP J8162A XL Access Controller Module or similar device."
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.1.1.1.1.2,hpifStatsPort,UNSIGNED32,READ-ONLY,"This object contains the port designation for this interface in the slot reported by hpifStatsSlot on the associated HP J8162A XL Access Controller Module or similar device."
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.1.1.1.1.3,hpifStatsNumClients,GAUGE32,READ-ONLY,"This object contains the number of active clients associated with this interface on this HP J8162A XL Access Controller Module or similardevice. This number will vary as clients roam, log on or off."
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.1.1.1.1.4,hpifStatsExtRoamsTo,COUNTER32,READ-ONLY,"The number of clients which have roamed to this interface from another HP J8162A XL Access Controller Module since the last reboot ofthis HP J8162A XL Access Controller Module or similar device. External roamsmay indicate client traffic is being tunneled back through theoriginal HP J8162A XL Access Controller Module."
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.1.1.1.1.5,hpifStatsExtRoamsFrom,COUNTER32,READ-ONLY,"The number of clients which have roamed away from this interface to another external HP J8162A XL Access Controller Modulesince the last reboot of the HP J8162A XL Access Controller Module or similar device. External roams may indicate client traffic isbeing tunneled back through the original HP J8162A XL Access Controller Module."
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.1.1.1.1.6,hpifStatsIntRoamsTo,COUNTER32,READ-ONLY,"The number of clients which have roamed to this interface from another interface on this same HP J8162A XL Access Controller Modulesince the last reboot of the HP J8162A XL Access Controller Module or similar device."
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.1.1.1.1.7,hpifStatsIntRoamsFrom,COUNTER32,READ-ONLY,"The number of clients which have roamed away from this interface to another interface on this same HP J8162A XL Access Controller Module since the last reboot of the HP J8162A XL Access Controller Module or similar device."
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.1.1.1.1.8,hpifStatsNumSessions,GAUGE32,READ-ONLY,"The number of active sessions aggregated over all clients associated with this interface on this HP J8162A XL Access Controller Moduleor similar device."
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.1.3,hpifNotificationConfig,"OBJECT IDENTIFIER",READ-ONLY,
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.2,hpifExtMIBNotificationsPrefix,"OBJECT IDENTIFIER",READ-ONLY,
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.2.0,hpifExtMIBNotifications,"OBJECT IDENTIFIER",READ-ONLY,
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.3,hpIfExtMIBConformance,"OBJECT IDENTIFIER",READ-ONLY,
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.3.1,hpifCompliances,"OBJECT IDENTIFIER",READ-ONLY,
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.3.1.1,hpifExtMIBCompliance1,MODULE-COMPLIANCE,READ-ONLY,"The compliance statement for entities which implement the HP-IF-EXT-MIB."
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.3.2,hpifGroups,"OBJECT IDENTIFIER",READ-ONLY,
HP-IF-EXT-MIB,1.3.6.1.4.1.11.2.3.7.11.17.7.1.2.3.2.1,hpifStatsGroup,OBJECT-GROUP,READ-ONLY,"A collection of objects providing statistics applicable to all HP J8162A XL Access Controller Module like devices."
